Unnamed: 0,Year,District,IPC,Children,SC,SLL,ST,Women
0,2016,Anantapur,3200,15.0,182.0,11,43.0,
1,2016,Chittoor,1429,0.0,90.0,10,23.0,
2,2016,East Godavari,2643,26.0,256.0,0,58.0,
3,2016,Guntur,2251,9.0,88.0,10,28.0,
4,2016,Krishna,2775,15.0,114.0,12,12.0,
5,2016,Kurnool,3268,24.0,313.0,83,19.0,
6,2016,Nellore,2763,68.0,209.0,8,50.0,
7,2016,Srikakulam,1378,6.0,53.0,38,11.0,
8,2016,Visakhapatnam,1704,14.0,111.0,136,24.0,
9,2016,Vizianagaram,1849,3.0,78.0,146,17.0,
10,2016,West Godavari,2651,63.0,160.0,51,28.0,
11,2016,Anjaw,6,0.0,0.0,0,0.0,
12,2016,Changlang,7,0.0,0.0,7,0.0,
13,2016,Dibang Valley,1,0.0,0.0,0,0.0,
14,2016,Kurung Kumey,25,0.0,0.0,0,0.0,
15,2016,Lohit,21,0.0,0.0,0,0.0,
16,2016,Longding,6,0.0,0.0,1,0.0,
17,2016,Lower Dibang Valley,9,0.0,0.0,0,0.0,
18,2016,Tawang,5,0.0,0.0,0,0.0,
19,2016,Tirap,12,1.0,0.0,1,0.0,
20,2016,Namsai,12,0.0,0.0,0,0.0,
21,2016,Siang,11,0.0,0.0,0,0.0,
22,2016,Barpeta,1432,0.0,0.0,122,0.0,
23,2016,Baksa,468,0.0,0.0,28,0.0,
24,2016,Bongaigaon,418,0.0,0.0,9,0.0,
25,2016,Cachar,2453,0.0,0.0,49,0.0,
26,2016,Chirang,246,0.0,0.0,3,0.0,
27,2016,Darrang,972,0.0,0.0,49,0.0,
28,2016,Dhemaji,223,20.0,0.0,8,1.0,
29,2016,Dhubri,649,0.0,1.0,141,0.0,
30,2016,Dibrugarh,1389,0.0,0.0,120,0.0,
31,2016,Goalpara,919,0.0,0.0,0,0.0,
32,2016,Golaghat,1072,0.0,0.0,19,0.0,
33,2016,Hailakandi,713,0.0,0.0,19,0.0,
34,2016,Jorhat,1700,0.0,1.0,51,0.0,
35,2016,Karbi Anglong,131,0.0,0.0,19,0.0,
36,2016,Karimganj,703,0.0,0.0,0,0.0,
37,2016,Kokrajhar,180,0.0,0.0,119,0.0,
38,2016,Lakhimpur,1700,0.0,0.0,22,0.0,
39,2016,Morigaon,181,0.0,0.0,68,0.0,
40,2016,Dima Hasao,82,0.0,0.0,11,0.0,
41,2016,Nagaon,3207,0.0,0.0,132,0.0,
42,2016,Nalbari,535,0.0,1.0,0,0.0,
43,2016,Sonitpur,1646,0.0,0.0,39,0.0,
44,2016,Tinsukia,826,0.0,0.0,0,0.0,
45,2016,Udalguri,169,0.0,0.0,22,0.0,
46,2016,Majuli,72,0.0,0.0,0,0.0,
47,2016,Biswanath,453,0.0,0.0,21,0.0,
48,2016,Hojai,674,0.0,0.0,0,0.0,
49,2016,Charaideo,233,0.0,0.0,26,0.0,
50,2016,Araria,1659,0.0,119.0,0,0.0,
51,2016,Arwal,445,0.0,45.0,21,0.0,
52,2016,Aurangabad,1146,0.0,123.0,40,0.0,
53,2016,Banka,2007,0.0,96.0,15,0.0,
54,2016,Begusarai,2319,0.0,141.0,14,0.0,
55,2016,Bhagalpur,1705,0.0,105.0,74,2.0,
56,2016,Bhojpur,1568,0.0,213.0,0,0.0,
57,2016,Buxar,879,11.0,116.0,4,0.0,
58,2016,Darbhanga,2147,26.0,167.0,0,0.0,
59,2016,Gaya,3072,0.0,353.0,27,0.0,
60,2016,Gopalganj,1423,22.0,131.0,27,0.0,
61,2016,Jamui,984,20.0,110.0,10,0.0,
62,2016,Jehanabad,683,15.0,52.0,6,0.0,
63,2016,Katihar,1078,0.0,103.0,164,6.0,
64,2016,Khagaria,1549,0.0,117.0,4,0.0,
65,2016,Kishanganj,725,0.0,46.0,34,6.0,
66,2016,Lakhisarai,466,0.0,73.0,61,0.0,
67,2016,Madhepura,1775,0.0,100.0,16,1.0,
68,2016,Madhubani,2815,0.0,184.0,0,0.0,
69,2016,Munger,1079,0.0,65.0,27,0.0,
70,2016,Muzaffarpur,2820,151.0,266.0,92,0.0,
71,2016,Nalanda,2906,54.0,248.0,30,0.0,
72,2016,Patna,3785,0.0,316.0,449,0.0,
73,2016,Rohtas,987,0.0,204.0,0,0.0,
74,2016,Saharsa,1299,0.0,134.0,0,0.0,
75,2016,Samastipur,2214,10.0,255.0,5,0.0,
76,2016,Saran,3233,0.0,256.0,47,0.0,
77,2016,Sheikhpura,260,0.0,63.0,18,0.0,
78,2016,Sheohar,341,0.0,23.0,4,0.0,
79,2016,Sitamarhi,1731,12.0,199.0,5,0.0,
80,2016,Siwan,1471,26.0,124.0,7,0.0,
81,2016,Supaul,542,10.0,113.0,20,0.0,
82,2016,Vaishali,1533,12.0,157.0,18,0.0,
